text,reposts_count,comments_count,attitudes_count,label
……//@喜欢狗1怎么了:为了一个游戏有必要连人都不做了吗//@豪雨誠侍心:。。。//@闪电螺丝:这还是人吗//@罗森冰糖麻薯:……//@可视银河://@萙草籽://@草犬识芥:……这个事情真的让我一看到就火气飙升……为虚拟事物抛弃良知抛弃人性……我真不明白,0,0,33148,0
吓人。。,1,4,17,0
我们老扬州人就是这样吃的。一般早上去瘦西湖边散个步，买一碗热腾腾的干拌面，倒一杯清凉的扬大酸奶混进面去快速搅拌，酸奶拌面拌好之后上面点缀两颗肴肉，旁边支一小锅，用康师傅方便面料煮两个正宗扬州狮子头，里面打两个蛋，一飞一卧。那叫一个地道!做完之后一股脑倒进瘦西湖去,0,0,17,0
【实录丨“开局起步‘十五五’——奋力谱写中国式现代化甘肃篇章”专场新闻发布会】2026年5月6日上午10时，省政府新闻办举行“开局起步‘十五五’——奋力谱写中国式现代化甘肃篇章”专场新闻发布会。中共甘肃省委副书记、省人民政府省长任振鹤，中共甘肃省委常委、省人民政府常务副省长程晓波，甘肃省人民政府副省长王钧，甘肃省人民政府副省长王兵，甘肃省人民政府副省长王旭出席发布会，介绍省“十五五”规划《纲要》以及开局之年重点举措，并回答记者提问。实录详情请点击链接：O网页链接（来源：甘肃发布）#“开局起步‘十五五’——奋力谱写中国式现代化甘肃篇章”#兰州新区超话#兰州新区##兰州#甘肃超话,14,32,47,0
【#政府回应小朋友在牌匾上涂鸦#：天真烂漫的情绪值得珍藏，暂不会对牌匾进行更换】#被小朋友涂鸦的政府牌匾暂不会更换#5月4日，网友发布视频称，四川雅安市雨城区多营镇政府门口，几个小朋友或坐在办公室外面的窗台上，或站在缓坡上玩耍，“多营镇人民政府”的牌匾上，则分布着孩子们的涂鸦，歪歪斜斜的，有文字，有图案，还有拼音。评论区网友说，这一幕，是政府大院里最动人的风景。在人民政府的门前，孩子们自在嬉闹、低语，没有拘谨，没有疏离，只有孩童的天真烂漫，与基层政务空间的烟火气交融共生。5月6日，华商报大风新闻记者了解到，多营镇政府门口有一个小广场，在当地叫院坝，广场外面是街道，广场和街道之间没有围墙。平时下班后，当地居民会在广场上跳广场舞、休闲，孩子们也在旁边玩耍。记者联系上当地一群众，她说，只要不下雨，大家天天去政府门口的广场上跳舞，镇政府及时在楼顶安装照明灯，根据不同季节动态设置亮灯时间，为群众跳广场舞、休闲散步提供明亮、安全的活动环境，另外，镇政府小广场提供村（居）民、游客免费停车服务，便民大厅面向群众敞开，为群众提供饮水、休息、卫生间使用等便利，非常贴心，只是小朋友们太调皮了，在牌匾上乱写乱画，作为家长，很过意不去。这种过意不去的心情，可以过去了。四川雅安市雨城区多营镇党委书记、镇长何佳洪在接受记者采访时说，小朋友坐的位置是一楼办公室外的窗台，家长在广场上跳舞，孩子们在玩耍等待，其实是非常和谐的一幕。何佳洪说，孩子们在政府牌匾上涂鸦的次日早上，保洁阿姨看到后，擦拭了一下，没有擦掉，到目前为止，牌匾还保持着涂鸦后的样子，一方面是节约的原则，另一方面小朋友天真烂漫的情绪值得珍藏，暂时也不会对牌匾进行更换。（大风新闻）L潇湘晨报的微博视频,72,176,1508,0
据说最近HF昨晚有大震动。看来CX的材料要补很久了.....呵呵,13,8,10,0
#西藏丁青县熊吃人事件系谣言#【网传西藏丁青县发生熊吃人事件，官方辟谣】近日，网络上流传有关“西藏昌都市丁青县熊吃人事件”的消息。对此，丁青县林业和草原局进行了正式回应。经核查，近年来丁青县并未发生过熊类攻击致人死亡的事件，网传的“每年都有人被吃，有些一家吃两三个人”等内容并不属实。官方提醒广大网友要以事实为依据，不轻信谣言、不传播谣言、不制造谣言。互联网不是法外之地，对于编造、散布谣言，扰乱公共秩序的行为，公安机关将依法严厉打击。建议大家通过官方渠道获取权威信息，如遇野生动物出没应保持安全距离，并及时报警或联系林草部门。同时，对恶意造谣、煽动恐慌的行为，欢迎公众积极举报，相关部门将依法追责。警方再次呼吁公众保持理性思考，增强防范意识及信息甄别能力，发布网络言论时需严格遵守法律法规，共同维护良好的网络环境。（网信丁青）L四川观察的微博视频,138,13,365,0
//@Jokielicious:搞不好是为了对冲日本的熊吃人的新闻//@新西兰冷百科孙小社:支持右边老师观点。//@洛澜-MegalodonEric:说白了，天天宣传“藏马熊在青藏高原泛滥”“当地政府罔顾民众安全”的，本质上都是在污蔑国内生态保护的基本国策和西藏地区政府的民生工作西藏的有关部门、科研团队和野保工作者在减缓人兽冲突方面做出了这么多的努力视而不见，几个自媒体营销号天天妖言惑众，是想干什么？支持官方辟谣查看图片,0,0,365,1
【#中方回应以色列有关议员窜访台湾#：立即停止错误言行】中国驻以色列使馆发言人就以色列有关议员窜访台湾答记者问。记者：近日，以色列未来党议员托波洛夫斯基再次窜访台湾。请问你对此有何评论?使馆发言人：以色列未来党议员托波洛夫斯基伙同数名议员再次窜访台湾，发表涉台错误言论，严重违反一个中国原则，严重破坏中以关系政治基础，中国驻以色列使馆对此予以强烈谴责。世界上只有一个中国，台湾是中国领土不可分割的一部分，中华人民共和国政府是代表全中国的唯一合法政府。一个中国原则是国际社会普遍共识和国际关系基本准则。当前台海和平稳定的最大威胁是台湾当局的“台独”分裂活动，中方绝不允许任何人以任何方式把台湾从中国分裂出去，绝不允许任何外部势力阻挠中国实现完全统一。中以建交公报中明确指出，“以色列国政府承认中华人民共和国政府是代表全中国的唯一合法政府，台湾是中华人民共和国领土不可分割的一部分”。有关议员屡次公然违反以政府坚持一个中国政策的立场，与“台独”分裂势力沆瀣一气，挑动两岸对立对抗，其行可鄙。我们奉劝有关议员立即停止错误言行，不要低估中国政府和中国人民捍卫国家主权和领土完整的坚强决心，不要妄想在台湾问题上踩线越界而不用付出代价。（央视新闻客户端）L国是直通车的微博视频,16,37,79,0
#官方回应28.5亿建的高标准农田被质疑是摆设#【澎湃回声｜江西鄱阳县政府：以最坚决有力的措施，整改整治高标准农田建设相关问题】#鄱阳县通报高标准农田建设问题#针对澎湃新闻报道的高标准农田建设相关问题，5月6日晚，江西省鄱阳县人民政府通报称，目前正在全力推进问题整改整治，并将对相关责任人进行严肃追责问责。“衷心感谢媒体监督和广大网友的关注，我们将以最坚决有力的措施严抓所有问题的整改整治。”鄱阳县人民政府在通报中表示，欢迎媒体和广大网友对整改过程与整改成效跟进监督。5月6日中午，澎湃新闻刊发关于鄱阳县高标准农田建设相关问题的报道。澎湃新闻影子调查队记者近期在鄱阳县采访发现，部分高标准农田的提灌站、水渠存在废弃闲置、工程质量等问题。2017年以来，鄱阳县争取中央和省级财政资金共28.5亿元，陆续建设高标准农田97万多亩。针对高标准农田建设过程中的施工质量、建后管护等问题，目前鄱阳县正在进行整治、整改。以下为鄱阳县人民政府的通报全文：情况通报5月6日，媒体报道我县高标准农田建设相关问题。我县高度重视，现将有关情况通报如下。2017年至2025年我县共建设高标准农田97.74万亩。今年1月我县已全面启动高标准农田建设突出问题专项整治。截至目前，已排查梳理设计不合理、建后管护不到位等各类问题，并全面建立台账，媒体所反映的问题均在其中。目前，我县正在全力推进问题整改整治，并将对相关责任人进行严肃追责问责。衷心感谢媒体监督和广大网友的关注，我们将以最坚决有力的措施严抓所有问题的整改整治，整改过程与整改成效诚挚欢迎媒体和广大网友跟进监督。O网页链接L澎湃新闻的微博视频,22,62,279,0
CNN调查：伊朗对美军中东基地造成“史无前例的破坏”2026年5月2日，美国有线电视新闻网（CNN）发布了一项重磅调查报道，基于数十张卫星图像和多位内部消息人士的证词，首次全面披露了自2月28日美国对伊朗开战以来，美军在中东地区遭受的真实损失规模。调查结论令人震惊：伊朗及其盟友的报复性打击，已对分布在中东8个国家的至少16处美军设施造成破坏，占美军在该地区军事据点的大多数，部分设施已“几乎无法使用”。一、损失规模的全面还原CNN调查报道援引卫星图像和内部消息人士的话指出，伊朗的打击覆盖了美军在中东8个国家的军事存在。遭受打击最严重的设施包括位于巴林的美国第五舰队总部，以及科威特的三个基地——阿里·萨利姆空军基地、阿里夫詹军营和布林军营。在卡塔尔，乌代德空军基地的卫星通信站据报也遭到精确打击。一名熟悉损失评估的国会助理向CNN透露，受损设施占美军在该地区军事据点的大多数。伊朗的打击特别聚焦于高价值军事资产，包括雷达系统、通信基础设施和各类飞机。该助理进一步指出，伊朗确实将这些高价值目标视为“最划算的攻击目标”，并强调“在这一地区，雷达系统不仅造价最为昂贵，也是我们最为稀缺的资源”。另一份来自《华盛顿邮报》的卫星图像分析进一步佐证了损失规模——在这场战争中，伊朗的袭击至少摧毁或破坏了美军中东基地内228座建筑物和装备，使部分基地沦为“空壳”。CNN的调查报道称，有些设施目前已经“几乎无法使用”。二、阿喀琉斯之踵：为何如此众多的美军基地成为活靶子美军在中东拥有庞大的军事基地网络，这些基地长期以来被视为美国地区霸权的基石。然而，伊朗在本次冲突中证明，这种高度分散却又相互依赖的基地布局，恰恰构成了美军的致命弱点。伊朗利用多轴向、多弹种的饱和攻击战术，从陆基发射阵地、海上快艇和空中无人机平台同时释放大量导弹和无人机，使美军的防空系统面临前所未有的拦截压力。更为致命的是，伊朗的打击呈现出极强的“外科手术”特性。通过对雷达站、通信枢纽和机场跑道的精准锁定，伊朗试图系统性瘫痪美军的“战场感知能力”与“作战响应速度”——即通过打瞎其“眼睛”（雷达）、打聋其“耳朵”（通信）、打断其“腿”（飞机跑道），使美军苦心经营多年的作战体系瞬间沦为一座座信息孤岛。许多基地在面对饱和攻击时，防空系统弹药迅速耗尽，而后续补给因基地自身受损而中断，形成恶性循环。三、战略影响：动摇美军长期存在根基的“空心战”此次受损的不仅是跑道和机库，更关键的是那些难以快速修复的高价值资产。先进的相控阵雷达、卫星通信地面站以及复杂的指挥控制中枢，这些都是美军相对于地区对手的“技术代差”核心。一旦这些“稀缺资源”被大量摧毁，美军至少在未来相当长一段时间内，将丧失对波斯湾及整个西亚地区进行实时、全天候监控与快速反应的能力。这将从根本上动摇美军在中东的持续优势。此外，伊朗通过将打击维度从传统“战线”扩展至贯穿全域的“远程突袭”，证明美国在海湾地区的所谓“绝对制空权”和“绝对制海权”在此类纵深综合作战面前已大打折扣。遍布中东的美军基地不再是威慑力的放大器，反而变成了牵制大量兵力和后勤资源的“人质”。美国长期以来以这些前沿基地为依托，试图向伊朗施加军事压力的战略基本构想，在本轮冲突中已被证明难以奏效，甚至可能适得其反。总而言之，CNN的调查报道揭露了一个美国政府和五角大楼至今不愿正面回应的残酷事实：在这场与伊朗的正面对抗中，美军并未占据上风，其维持中东霸权的军事基础正在遭到前所未有的动摇。当第五舰队总部、乌代德空军基地这类象征美国地区军事存在的核心据点都被列入受损名单时，华盛顿所面临的或许将不仅是一次战役的失利，而是整个中东战略布局的结构性崩塌。#热点观点##海外新鲜事#视频当中是布埃林营地坐落在科威特西北部的乌代伊里靶场综合体内，是一片几乎无人居住的沙漠地带，距离伊拉克边境仅约四十公里。它最初叫乌代伊里营地，二零零三年一月伊拉克战争前夕匆匆建成，作为美军向北进攻伊拉克的跳板。次年，它被更名为布埃林营地，用来纪念二零零三年十月在巴格达阵亡的中校查尔斯·布埃林——他是伊拉克战争中阵亡的美军高级军官之一。从规模上看，布埃林营地是美军在中东地区最大的基地之一。伊拉克战争期间，从美国本土调来的部队会先在这里驻扎两到三周，领取最后的野外装备、校准武器、适应沙漠气候，然后通过陆路或空运进入伊拉克。在战争最激烈的年月里，这里不仅是前往伊拉克和叙利亚的部队中转站，也是整个中东战区预备队的主要驻地。二零零三年到二零一一年间，科威特境内常年维持着两万五千名左右的美军，还不包括已经部署进伊拉克的部队，布埃林是这些人必经的门户。中央司令部陆军司令部是美国中东陆军的大脑，而该基地则是美国中东陆军的身躯，集结两万级别的美国陆军士兵，现在已经被迫清空。从战略意义上说，布埃林的价值不在于它有多先进的武器，而在于它的位置。它卡在科威特、伊拉克和沙特阿拉伯的三角地带，是美军地面力量在海湾地区的"加压阀"。布埃林是中央司令部陆军最大的基地，把人员、装备和士气转换成可投放的战斗力，现在已经彻底废了。L萌音大酋长的微博视频,43,9,120,0
杭州超话#社会新闻#看看视频中，从2012年开始动工，可至今也没有完工验收。庆元县的开发项目也太牛了，这真是浙江省冰山一角的“典范”了O网页链接在2025年9月17日浙江省第七巡视组进住庆元县，希望巡视组能够亲临现场观察“效绩”。可是当举报人拿着举报材料去现场时，却要经过重重关卡，当经过了三道关卡递交材料时，见到的又是浙江省第七巡视组的代理人（庆元县的工作人员），可浙江省第七巡视组的工作人员不知去向？！这也太不应该了。#今日头条##四川##北京爆料##中央纪委监察部巡视网站##中央巡视领导小组办公室#丽水超话杭州超话#国家纪委监委网站##同城爆料##社会新闻##社会热点##合肥##丽水爆料##今日头条##上海##南京##杭州爆料##北京##抖音##金华#你们看了有何感想？请在评论区留言。详情请致电13905887989丽水超话上海超话#焦点访谈##网易新闻#,420,15,11,0
【5月6日完整版#新闻1+1#|五一假期：人气更旺，体验如何更好？】#五一假期出行人数创历史新高#全社会跨区域人员流动量达15.17亿人次。另据中国旅游研究院预测，全国国内旅游出游达3.2亿人次，国内旅游收入突破2200亿元，也有望创历史新高。当多地“春假”与“五一”连休，假期扩容扩出了什么？当赛事和演出与旅游深度融合，又融合出什么效果？当越来越多的外国游客将足迹向“小城深度游”延伸，怎样让他们感受一个友好、多彩的中国？当“量”的增长已成常态，我们又该如何实现“质”的升级？更多今年“五一”假期的新趋势、新特点，《新闻1+1》本期节目，主持人董倩连线中国旅游研究院院长戴斌，带来分析解读。L新闻一加一的微博视频,1,15,8,0
制造冤案从《行政处罚决定书》开始！三四十年的工作单位没有了？公安分局是“本公司”？挑选与运捷公司关系密切且不在现场的人作自相矛盾又互相矛盾的证言，未经质证，且与出庭证人证言截然相反；卷宗时间记录严重穿越好几次；真正违法征收土地、出让土地、非法偷拆房屋（严重违反《征收补偿条例》关于“先补偿，后拆迁”的规定和“禁止建设单位参与搬迁活动”的规定）并且未事先商谈、未签协议、未给付补偿的，严重违反“严禁公安民警参与征地拆迁等非警务活动”，严重违反“对情节复杂或者重大违法行为给予较重的行政处罚，行政机关的负责人应当集体讨论决定”的规定，等等，统统没有被追究法律责任，而守法公民却被拘留且打不赢官司！冤！,75,0,1,1
